time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-21 00:00:00+00:00,518,189,620,238
2025-09-22 00:00:00+00:00,706,325,1118,408
2025-09-23 00:00:00+00:00,812,336,1161,460
2025-09-24 00:00:00+00:00,719,316,979,392
2025-09-25 00:00:00+00:00,718,260,1099,398
2025-09-26 00:00:00+00:00,844,284,1168,400
2025-09-27 00:00:00+00:00,738,247,859,318
2025-09-28 00:00:00+00:00,502,250,1090,391
2025-09-29 00:00:00+00:00,697,306,1047,422
2025-09-30 00:00:00+00:00,910,367,1280,465
2025-10-01 00:00:00+00:00,669,305,1121,392
2025-10-02 00:00:00+00:00,733,278,1107,401
2025-10-03 00:00:00+00:00,968,290,1027,416
2025-10-04 00:00:00+00:00,596,247,906,338
